Rating Date,Team,Division,Special Teams
16/10/2021 (v5.0),Anaheim Ducks,PAC,0.9953164296873966
16/10/2021 (v5.0),Arizona Coyotes,CEN,4.729777522930621e-05
16/10/2021 (v5.0),Boston Bruins,ATL,0.5
16/10/2021 (v5.0),Buffalo Sabres,ATL,0.9999898700090192
16/10/2021 (v5.0),Calgary Flames,CEN,0.0031726828424851893
16/10/2021 (v5.0),Carolina Hurricanes,MET,0.9939762300974047
16/10/2021 (v5.0),Chicago Blackhawks,CEN,0.9997688008796416
16/10/2021 (v5.0),Colorado Avalanche,CEN,0.00010102919390777272
16/10/2021 (v5.0),Columbus Blue Jackets,MET,0.9999783611801066
16/10/2021 (v5.0),Dallas Stars,CEN,0.9465966702001757
16/10/2021 (v5.0),Detroit Red Wings,ATL,0.4201884100030748
16/10/2021 (v5.0),Edmonton Oilers,PAC,0.9983312328539615
16/10/2021 (v5.0),Florida Panthers,ATL,0.00490296563845464
16/10/2021 (v5.0),Los Angeles Kings,PAC,0.9999898700090192
16/10/2021 (v5.0),Minnesota Wild,CEN,0.12909323862633218
16/10/2021 (v5.0),Montréal Canadiens,ATL,0.00014264626602304118
16/10/2021 (v5.0),Nashville Predators,CEN,0.021499323682558406
16/10/2021 (v5.0),New Jersey Devils,MET,0.00010102919390777272
16/10/2021 (v5.0),New York Islanders,MET,0.012493186263129554
16/10/2021 (v5.0),New York Rangers,MET,0.0013571639523248858
16/10/2021 (v5.0),Ottawa Senators,ATL,0.8709067613736678
16/10/2021 (v5.0),Philadelphia Flyers,MET,0.021020758274605946
16/10/2021 (v5.0),Pittsburgh Penguins,MET,0.8236100487732679
16/10/2021 (v5.0),San Jose Sharks,PAC,0.999995257777936
16/10/2021 (v5.0),Seattle Kraken,PAC,0.9551694957054216
16/10/2021 (v5.0),St. Louis Blues,CEN,0.9999898700090192
16/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.9953164296873966
16/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.8427720692212612
16/10/2021 (v5.0),Vancouver Canucks,PAC,0.016032104924362505
16/10/2021 (v5.0),Vegas Golden Knights,PAC,0.00010102919390777272
16/10/2021 (v5.0),Washington Capitals,MET,0.9989932291799144
16/10/2021 (v5.0),Winnipeg Jets,CEN,5.685213100650898e-05
30/10/2021 (v5.0),Anaheim Ducks,PAC,0.31388900042858553
30/10/2021 (v5.0),Arizona Coyotes,CEN,5.1855380575481025e-05
30/10/2021 (v5.0),Boston Bruins,ATL,0.3238794521657388
30/10/2021 (v5.0),Buffalo Sabres,ATL,0.7989910002494707
30/10/2021 (v5.0),Calgary Flames,CEN,0.9570985196432062
30/10/2021 (v5.0),Carolina Hurricanes,MET,0.9615800144984347
30/10/2021 (v5.0),Chicago Blackhawks,CEN,0.7759119513433007
30/10/2021 (v5.0),Colorado Avalanche,CEN,0.5344453525682099
30/10/2021 (v5.0),Columbus Blue Jackets,MET,0.10755140461958353
30/10/2021 (v5.0),Dallas Stars,CEN,0.3188634163971166
30/10/2021 (v5.0),Detroit Red Wings,ATL,0.13979423870251187
30/10/2021 (v5.0),Edmonton Oilers,PAC,0.9999824071430429
30/10/2021 (v5.0),Florida Panthers,ATL,0.9561441262270519
30/10/2021 (v5.0),Los Angeles Kings,PAC,0.011407626087748953
30/10/2021 (v5.0),Minnesota Wild,CEN,0.14829963408907304
30/10/2021 (v5.0),Montréal Canadiens,ATL,0.011151137398568576
30/10/2021 (v5.0),Nashville Predators,CEN,0.8879529614430097
30/10/2021 (v5.0),New Jersey Devils,MET,0.8133611858632268
30/10/2021 (v5.0),New York Islanders,MET,0.9794473782301052
30/10/2021 (v5.0),New York Rangers,MET,0.9648381948147848
30/10/2021 (v5.0),Ottawa Senators,ATL,0.8574169883779952
30/10/2021 (v5.0),Philadelphia Flyers,MET,0.7678124415603601
30/10/2021 (v5.0),Pittsburgh Penguins,MET,0.3188634163971166
30/10/2021 (v5.0),San Jose Sharks,PAC,0.8457957659328216
30/10/2021 (v5.0),Seattle Kraken,PAC,0.34955405121718774
30/10/2021 (v5.0),St. Louis Blues,CEN,0.9991428156502524
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.11909796841148834
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.041051893492676635
30/10/2021 (v5.0),Vancouver Canucks,PAC,0.05952436597650149
30/10/2021 (v5.0),Vegas Golden Knights,PAC,0.5
30/10/2021 (v5.0),Washington Capitals,MET,0.0419669448770894
30/10/2021 (v5.0),Winnipeg Jets,CEN,0.21231955604880434
27/11/2021 (v5.0),Anaheim Ducks,PAC,0.9685377790881344
27/11/2021 (v5.0),Arizona Coyotes,CEN,0.00929444924712809
27/11/2021 (v5.0),Boston Bruins,ATL,0.8487717474909259
27/11/2021 (v5.0),Buffalo Sabres,ATL,0.6811365836028834
27/11/2021 (v5.0),Calgary Flames,CEN,0.9632438131696538
27/11/2021 (v5.0),Carolina Hurricanes,MET,0.759510916949111
27/11/2021 (v5.0),Chicago Blackhawks,CEN,0.48850202740433546
27/11/2021 (v5.0),Colorado Avalanche,CEN,0.7288903583824182
27/11/2021 (v5.0),Columbus Blue Jackets,MET,0.8545819867474518
27/11/2021 (v5.0),Dallas Stars,CEN,0.9107640599707677
27/11/2021 (v5.0),Detroit Red Wings,ATL,0.12153220056839713
27/11/2021 (v5.0),Edmonton Oilers,PAC,0.9988963189651047
27/11/2021 (v5.0),Florida Panthers,ATL,0.23631314832171668
27/11/2021 (v5.0),Los Angeles Kings,PAC,0.15122825250907418
27/11/2021 (v5.0),Minnesota Wild,CEN,0.3495540512171885
27/11/2021 (v5.0),Montréal Canadiens,ATL,0.01368061978620997
27/11/2021 (v5.0),Nashville Predators,CEN,0.5685652990777051
27/11/2021 (v5.0),New Jersey Devils,MET,0.13435376057997242
27/11/2021 (v5.0),New York Islanders,MET,0.03927877431288054
27/11/2021 (v5.0),New York Rangers,MET,0.5515660020600748
27/11/2021 (v5.0),Ottawa Senators,ATL,0.1265293755836851
27/11/2021 (v5.0),Philadelphia Flyers,MET,0.4541293434458056
27/11/2021 (v5.0),Pittsburgh Penguins,MET,0.5344453525682107
27/11/2021 (v5.0),San Jose Sharks,PAC,0.6959318743437264
27/11/2021 (v5.0),Seattle Kraken,PAC,0.4201884100030748
27/11/2021 (v5.0),St. Louis Blues,CEN,0.9107640599707677
27/11/2021 (v5.0),Tampa Bay Lightning,ATL,0.7876804439511956
27/11/2021 (v5.0),Toronto Maple Leafs,ATL,0.9488748322491539
27/11/2021 (v5.0),Vancouver Canucks,PAC,0.006163058416564463
27/11/2021 (v5.0),Vegas Golden Knights,PAC,0.24899116539300384
27/11/2021 (v5.0),Washington Capitals,MET,0.8682987800186006
27/11/2021 (v5.0),Winnipeg Jets,CEN,0.04787968984991887
25/12/2021 (v5.0),Anaheim Ducks,PAC,0.9465966702001757
25/12/2021 (v5.0),Arizona Coyotes,CEN,0.011938222453896618
25/12/2021 (v5.0),Boston Bruins,ATL,0.742308157227766
25/12/2021 (v5.0),Buffalo Sabres,ATL,0.34434289450151584
25/12/2021 (v5.0),Calgary Flames,CEN,0.8902209518637819
25/12/2021 (v5.0),Carolina Hurricanes,MET,0.9049950088534093
25/12/2021 (v5.0),Chicago Blackhawks,CEN,0.22011437099927414
25/12/2021 (v5.0),Colorado Avalanche,CEN,0.7334113700039062
25/12/2021 (v5.0),Columbus Blue Jackets,MET,0.4090243803316264
25/12/2021 (v5.0),Dallas Stars,CEN,0.9029989861370133
25/12/2021 (v5.0),Detroit Red Wings,ATL,0.06773588886224143
25/12/2021 (v5.0),Edmonton Oilers,PAC,0.9853563996653033
25/12/2021 (v5.0),Florida Panthers,ATL,0.23218755843963992
25/12/2021 (v5.0),Los Angeles Kings,PAC,0.13705129257545964
25/12/2021 (v5.0),Minnesota Wild,CEN,0.4201884100030748
25/12/2021 (v5.0),Montréal Canadiens,ATL,0.018780077792909987
25/12/2021 (v5.0),Nashville Predators,CEN,0.7055773325914297
25/12/2021 (v5.0),New Jersey Devils,MET,0.10536361445327427
25/12/2021 (v5.0),New York Islanders,MET,0.30406812565627295
25/12/2021 (v5.0),New York Rangers,MET,0.8809020315885117
25/12/2021 (v5.0),Ottawa Senators,ATL,0.5515660020600739
25/12/2021 (v5.0),Philadelphia Flyers,MET,0.38698582386066455
25/12/2021 (v5.0),Pittsburgh Penguins,MET,0.8098444853027391
25/12/2021 (v5.0),San Jose Sharks,PAC,0.6608310838914487
25/12/2021 (v5.0),Seattle Kraken,PAC,0.3924560409028581
25/12/2021 (v5.0),St. Louis Blues,CEN,0.9607212256871195
25/12/2021 (v5.0),Tampa Bay Lightning,ATL,0.5057497465342421
25/12/2021 (v5.0),Toronto Maple Leafs,ATL,0.9607212256871195
25/12/2021 (v5.0),Vancouver Canucks,PAC,0.03675618683034623
25/12/2021 (v5.0),Vegas Golden Knights,PAC,0.43708523512770153
25/12/2021 (v5.0),Washington Capitals,MET,0.3443428945015151
25/12/2021 (v5.0),Winnipeg Jets,CEN,0.09304580908461745
29/1/2021 (v5.0),Anaheim Ducks,PAC,0.9049950088534093
29/1/2021 (v5.0),Arizona Coyotes,CEN,0.022999830032522695
29/1/2021 (v5.0),Boston Bruins,ATL,0.8709067613736678
29/1/2021 (v5.0),Buffalo Sabres,ATL,0.1973404882826158
29/1/2021 (v5.0),Calgary Flames,CEN,0.8427720692212612
29/1/2021 (v5.0),Carolina Hurricanes,MET,0.9551694957054216
29/1/2021 (v5.0),Chicago Blackhawks,CEN,0.13170121998139944
29/1/2021 (v5.0),Colorado Avalanche,CEN,0.7150421057009898
29/1/2021 (v5.0),Columbus Blue Jackets,MET,0.36540051830588277
29/1/2021 (v5.0),Dallas Stars,CEN,0.6292498476593305
29/1/2021 (v5.0),Detroit Red Wings,ATL,0.13435376057997278
29/1/2021 (v5.0),Edmonton Oilers,PAC,0.8487717474909259
29/1/2021 (v5.0),Florida Panthers,ATL,0.6451986045631828
29/1/2021 (v5.0),Los Angeles Kings,PAC,0.09304580908461718
29/1/2021 (v5.0),Minnesota Wild,CEN,0.4201884100030748
29/1/2021 (v5.0),Montréal Canadiens,ATL,0.0328945674191934
29/1/2021 (v5.0),Nashville Predators,CEN,0.7759119513433007
29/1/2021 (v5.0),New Jersey Devils,MET,0.31388900042858553
29/1/2021 (v5.0),New York Islanders,MET,0.31886341639711585
29/1/2021 (v5.0),New York Rangers,MET,0.8902209518637819
29/1/2021 (v5.0),Ottawa Senators,ATL,0.47701620894755137
29/1/2021 (v5.0),Philadelphia Flyers,MET,0.1482996340890726
29/1/2021 (v5.0),Pittsburgh Penguins,MET,0.8334113864245404
29/1/2021 (v5.0),San Jose Sharks,PAC,0.47701620894755214
29/1/2021 (v5.0),Seattle Kraken,PAC,0.1797562183987461
29/1/2021 (v5.0),St. Louis Blues,CEN,0.9705737426214051
29/1/2021 (v5.0),Tampa Bay Lightning,ATL,0.5629147648722985
29/1/2021 (v5.0),Toronto Maple Leafs,ATL,0.9850207972618469
29/1/2021 (v5.0),Vancouver Canucks,PAC,0.06920280637862578
29/1/2021 (v5.0),Vegas Golden Knights,PAC,0.4712816430485603
29/1/2021 (v5.0),Washington Capitals,MET,0.3340330732481797
29/1/2021 (v5.0),Winnipeg Jets,CEN,0.20849848803335913
26/2/2021 (v5.0),Anaheim Ducks,PAC,0.8759908182286018
26/2/2021 (v5.0),Arizona Coyotes,CEN,0.02573077326600301
26/2/2021 (v5.0),Boston Bruins,ATL,0.7636868516782828
26/2/2021 (v5.0),Buffalo Sabres,ATL,0.23218755843964045
26/2/2021 (v5.0),Calgary Flames,CEN,0.8656462394200272
26/2/2021 (v5.0),Carolina Hurricanes,MET,0.9624207612570771
26/2/2021 (v5.0),Chicago Blackhawks,CEN,0.22011437099927414
26/2/2021 (v5.0),Colorado Avalanche,CEN,0.6075439590971419
26/2/2021 (v5.0),Columbus Blue Jackets,MET,0.44843399793992605
26/2/2021 (v5.0),Dallas Stars,CEN,0.6659669267518202
26/2/2021 (v5.0),Detroit Red Wings,ATL,0.11670601537690933
26/2/2021 (v5.0),Edmonton Oilers,PAC,0.7197052449305025
26/2/2021 (v5.0),Florida Panthers,ATL,0.5572478545985555
26/2/2021 (v5.0),Los Angeles Kings,PAC,0.13435376057997278
26/2/2021 (v5.0),Minnesota Wild,CEN,0.38698582386066455
26/2/2021 (v5.0),Montréal Canadiens,ATL,0.02751830053344254
26/2/2021 (v5.0),Nashville Predators,CEN,0.6504459487828123
26/2/2021 (v5.0),New Jersey Devils,MET,0.30895698758427714
26/2/2021 (v5.0),New York Islanders,MET,0.32387945216573955
26/2/2021 (v5.0),New York Rangers,MET,0.9162152257322503
26/2/2021 (v5.0),Ottawa Senators,ATL,0.4712816430485603
26/2/2021 (v5.0),Philadelphia Flyers,MET,0.09304580908461718
26/2/2021 (v5.0),Pittsburgh Penguins,MET,0.8026595117173841
26/2/2021 (v5.0),San Jose Sharks,PAC,0.7197052449305031
26/2/2021 (v5.0),Seattle Kraken,PAC,0.11909796841148869
26/2/2021 (v5.0),St. Louis Blues,CEN,0.9624207612570771
26/2/2021 (v5.0),Tampa Bay Lightning,ATL,0.4885020274043363
26/2/2021 (v5.0),Toronto Maple Leafs,ATL,0.9911197002296969
26/2/2021 (v5.0),Vancouver Canucks,PAC,0.09700101386298664
26/2/2021 (v5.0),Vegas Golden Knights,PAC,0.5229837910524479
26/2/2021 (v5.0),Washington Capitals,MET,0.257691842772234
26/2/2021 (v5.0),Winnipeg Jets,CEN,0.43143470092229486
05/03/2021 (v5.0),Anaheim Ducks,PAC,0.9144326474050335
05/03/2021 (v5.0),Arizona Coyotes,CEN,0.033634168505796515
05/03/2021 (v5.0),Boston Bruins,ATL,0.7466831774028757
05/03/2021 (v5.0),Buffalo Sabres,ATL,0.26658862999609445
05/03/2021 (v5.0),Calgary Flames,CEN,0.8946363855467258
05/03/2021 (v5.0),Carolina Hurricanes,MET,0.9580330551229106
05/03/2021 (v5.0),Chicago Blackhawks,CEN,0.22811247987477715
05/03/2021 (v5.0),Colorado Avalanche,CEN,0.618456030400633
05/03/2021 (v5.0),Columbus Blue Jackets,MET,0.44275214540144436
05/03/2021 (v5.0),Dallas Stars,CEN,0.6451986045631828
05/03/2021 (v5.0),Detroit Red Wings,ATL,0.0662978513521964
05/03/2021 (v5.0),Edmonton Oilers,PAC,0.5685652990777043
05/03/2021 (v5.0),Florida Panthers,ATL,0.6399160967377341
05/03/2021 (v5.0),Los Angeles Kings,PAC,0.11909796841148834
05/03/2021 (v5.0),Minnesota Wild,CEN,0.28495789429901025
05/03/2021 (v5.0),Montréal Canadiens,ATL,0.03516180518521532
